日期,城市,热度 ,汽车,火车,飞机,流向
2019-05-13,上海,298589,0.0582,0.5709,0.3709,迁出
2019-05-13,重庆,153493,0.0025,0.3251,0.6723,迁出
2019-05-13,长沙,117284,0.0000,0.5443,0.4557,迁出
2019-05-13,杭州,110413,0.0654,0.5539,0.3807,迁出
2019-05-13,廊坊,92760,0.8315,0.1685,0.0000,迁出
2019-05-13,武汉,80375,0.0558,0.7458,0.1984,迁出
2019-05-13,南京,54017,0.0559,0.7832,0.1609,迁出
2019-05-13,西安,50622,0.0720,0.7154,0.2126,迁出
2019-05-13,苏州,49263,0.0737,0.7326,0.1937,迁出
2019-05-13,天津,44207,0.6501,0.3499,0.0000,迁出
2019-05-14,上海,277727,0.0669,0.5084,0.4248,迁出
2019-05-14,重庆,174469,0.0039,0.2955,0.7007,迁出
2019-05-14,长沙,108709,0.0000,0.5755,0.4245,迁出
2019-05-14,杭州,106777,0.0758,0.5165,0.4078,迁出
2019-05-14,廊坊,91515,0.8335,0.1665,0.0000,迁出
2019-05-14,武汉,80560,0.0457,0.7677,0.1866,迁出
2019-05-14,南京,54076,0.0521,0.8057,0.1422,迁出
2019-05-14,西安,50796,0.0716,0.7284,0.2001,迁出
2019-05-14,保定,44598,0.6975,0.3025,0.0000,迁出
2019-05-14,天津,43374,0.6401,0.3599,0.0000,迁出
2019-05-15,上海,280504,0.0628,0.5174,0.4199,迁出
2019-05-15,重庆,174930,0.0028,0.3122,0.6850,迁出
2019-05-15,长沙,128632,0.0000,0.5613,0.4387,迁出
2019-05-15,杭州,113717,0.0571,0.5105,0.4324,迁出
2019-05-15,廊坊,93439,0.8327,0.1673,0.0000,迁出
2019-05-15,武汉,89709,0.0566,0.7269,0.2166,迁出
2019-05-15,南京,59109,0.0564,0.8142,0.1293,迁出
2019-05-15,西安,54816,0.0609,0.7175,0.2215,迁出
2019-05-15,保定,46063,0.6908,0.3092,0.0000,迁出
2019-05-15,苏州,44918,0.0597,0.7675,0.1729,迁出
2019-05-16,上海,261923,0.0674,0.5151,0.4175,迁出
2019-05-16,重庆,182320,0.0011,0.3026,0.6963,迁出
2019-05-16,杭州,125852,0.0668,0.5136,0.4196,迁出
2019-05-16,长沙,118399,0.0000,0.5465,0.4535,迁出
2019-05-16,武汉,98206,0.0468,0.7538,0.1994,迁出
